gameTitle,Distrust,不信,
Potatoes_caption,Potatoes,ポテト,ジャガイモ
Potatoes_description,Characters can eat raw potatoes but it's better to cook them first.,文字は、生のジャガイモを食べることができるが、それは最初にそれらを調理する方が良いでしょう。,生でも食べることは出来ますが，美味しく調理した方がいいでしょう．
ProteinBar_caption,Protein bar,プロテインバー,プロテインバー
ProteinBar_description,Provides a blast of energy!,エネルギーの爆発を提供します！,爆発的なエネルギーを補充します！
Rope_caption,Rope,ロープ,ロープ
Rope_description,This rope is strong enough to bind anything.,このロープは何かを結合するのに十分な強さです。,このロープは何かを結ぶのに十分な強さです．
RottenBoards_caption,Rotten wood,腐った木,腐った木
RottenBoards_description,Although this wood is good for firing up a furnacecomma you'll need a lot of it to keep a place warm.,この木材はfurnacecommaを発射するために良いですが、あなたは暖かい場所を保つために、それの多くをする必要があります。,暖炉にくべることはできますが，室温を保つにはたくさん必要です．
sweater_caption,Puffy jacket,パフィージャケット,膨らんだジャケット
sweater_description,This jacket can keep a person nominally warm. It's better than nothing.,このジャケットは、名目上、暖かい人を維持することができます。それは何もないよりはましです。,このジャケットは名目上体温を維持します．ないよりはましという程度ですが．
Tablets_caption,Pills,丸,丸薬
Tablets_description,These pills can cure a multitude of illnesses.,これらの薬は病気の多くを治すことができます。,この薬は多くの病気を治療できます．
Tape_caption,Insulating tape,絶縁テープ,絶縁テープ
Tape_description,A multipurpose tape for making repairs.,修理を行うための多目的テープ。,修理を行える多目的のテープ
Tool_Axe_caption,Axe,斧,斧
Tool_Axe_description,This axe is sharp enough to handle all your woodcutting needs.,この斧は、すべてあなたの伐採のニーズを処理するのに十分シャープです。,必要な仕事をこなせる程度には鋭い斧です．
Tool_Crowbar_caption,Crowbar,クローバ,バール
Tool_Crowbar_description,A simple but versatile and effective tool. It can break through a variety of obstacles.,シンプルだが汎用性と効果的なツール。これは、障害物の様々なを突破することができます。,シンプルですが汎用的かつ効果的な道具です．様々な障害を突破できます．
Tool_GasCan_caption,Gas can,ガス缶,ガス缶
Tool_GasCan_description,Contains enough fuel to fill three generators.,3つの発電機を満たすのに十分な燃料が含まれています。,3つの発電機を満たすのに十分な燃料が入っています．
Tool_Hammer_caption,Hammer,ハンマー,ハンマー
Tool_Hammer_description,Allows a member of the expedition to repair doorscomma windows and beds.,遠征のメンバーがdoorscommaの窓や床を修復することができます。,メンバーが壊れたドア，窓，ベッドを修理できます．
Tool_HandFlashlight_caption,Flashlight,懐中電灯,懐中電灯
Tool_HandFlashlight_description,Just try to survive in the dark without this.,ただ、このことなく、暗闇の中で生き残るためにしてみてください。,暗闇でこれがなくなったことを想像してください．
Tool_Handsaw_caption,Handsaw,手のこぎり,手のこぎり
Tool_Handsaw_description,Using this to saw through something takes work but is worth the effort.,何かを見破ったために、これを使用すると、手間がかかりますが、努力の価値があります。,これを使って何かを壊すのは大変ですが，その価値はあります．
Tool_Keys_caption,Key ring,キーホルダー,キーリング
Tool_Keys_description,A bunch of keys. It should have the one you need.,鍵の束。それはあなたが必要なものを持っている必要があります。,鍵の束です．必要なものがあるはずです．
Tool_Picklock_caption,Lock pick,ピッキング用品,ロックピック
Tool_Picklock_description,Use it to quickly open any physical lock.,すぐに物理的なロックを開くためにそれを使用してください。,物理的なカギを開けるために使えます．
Tool_Pistol_caption,Gun,銃,銃
Tool_Pistol_description,This gun works - but bullets are not included.,この銃は動作します - しかし、弾丸が含まれていません。,動作します．しかし，弾丸が入っていません．
Tool_Pliers_caption,Wire cutters,ワイヤーカッター,ワイヤカッター
Tool_Pliers_description,Strong enough to cut through the thickest wires.,最も厚いワイヤを切断するのに十分に強いです。,太いワイヤをいとも簡単に切断できます．
Tool_RubberGloves_caption,Rubber gloves,ゴム手袋,ゴム手袋
Tool_RubberGloves_description,Don't even think about touching chemicals without slipping these on first.,でも、最初にこれらを滑らずに化学物質に触れるについて考えてはいけません。,決して着用せずに化学物質に触れてはいけません．
Tool_Shovel_caption,Shovel,シャベル,シャベル
Tool_Toolkit_caption,Toolkit,ツールキット,ツールキット
Tool_Toolkit_description,Use this when a member of the expedition breaks something or needs to repair something.,遠征のメンバーが何かを壊すか何かを修復する必要があるときに使用します。,メンバーが何かを壊したり修理するときに使います．
Wire_caption,Wire,ワイヤー,ワイヤ
Wire_description,Long strips of high-voltage wire,高圧電線の長いストリップ,高電圧用の長い電線です
Wood_caption,Wood,木材,木
Wood_description,Use this to fire up a furnace or build a fire.,炉を起動したり、火を構築するために使用します。,暖炉を着けたり，火を起こせます．
EmptyTaskHand,doing nothing...,何もしない...,何もしていません…
_TurnOff_ElectricalCabinet_caption,removing wires...,ワイヤーを取り除きます...,ワイヤを取り除いています…
Blocker_FenceDoor_OpenWithWires_caption,connecting the wires...,電線を接続します...,ワイヤを接続しています…
DigCoalInBox_caption,collecting coal...,石炭を集め...,石炭を集めています…
Door_BreakWithCrowbar_caption,using a crowbar to open a door...,ドアを開くためにバールを使って...,バールでドアを開けています…
Door_DigSnowWithShovel_caption,shoveling snow...,雪かき...,雪かきをしています…
Door_DigWithHands_caption,scooping up snow by hand...,手で雪をすくっ...,手で雪をすくっています…
Door_DigWithShovel_caption,shoveling snow...,雪かき...,雪かきをしています…
Door_ExitFromZone_FenceDoor_caption,\u533A\u57DF\u3092\u8131\u51FA\u3057\u3066\u3044\u307E\u3059\u2026,\ u533A \ u57DF \ u3092 \ u8131 \ u51FA \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
Door_ExitFromZone_FenceDoor1_caption,\u533A\u57DF\u3092\u8131\u51FA\u3057\u3066\u3044\u307E\u3059\u2026,\ u533A \ u57DF \ u3092 \ u8131 \ u51FA \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
Door_ExitFromZone_FenceDoor2_caption,\u533A\u57DF\u3092\u8131\u51FA\u3057\u3066\u3044\u307E\u3059\u2026,\ u533A \ u57DF \ u3092 \ u8131 \ u51FA \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
Door_ExitFromZone_FenceDoor3_caption,\u533A\u57DF\u3092\u8131\u51FA\u3057\u3066\u3044\u307E\u3059\u2026,\ u533A \ u57DF \ u3092 \ u8131 \ u51FA \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
Door_ExitFromZone_FenceDoor4_caption,\u533A\u57DF\u3092\u8131\u51FA\u3057\u3066\u3044\u307E\u3059\u2026,\ u533A \ u57DF \ u3092 \ u8131 \ u51FA \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
Door_ExitFromZone_FenceDoor5_caption,\u533A\u57DF\u3092\u8131\u51FA\u3057\u3066\u3044\u307E\u3059\u2026,\ u533A \ u57DF \ u3092 \ u8131 \ u51FA \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
Door_OpenWithKeys_caption,looking for the key that unlocks the door...,ドアのロックを解除するキーを探してい...,ドアを開ける鍵を探しています…
Door_OpenWithLockPick_caption,using the lock pick to unlock the door...,ドアのロックを解除するロックピックを使用して...,ロックピックを使っています…
Door_OpenWithToolkit_caption,using a tool to open a door...,扉を開くためのツールを使用して...,ツールを使っています…
Door_RemoveLock_caption,breaking the lock on the door...,ドアのロックを破ります...,ドアの鍵を破っています…
Door_RemoveLockWithPistol_caption,shooting the lock on the door...,ドアのロックを撮影...,ドアの鍵を撃っています…
Door_Repair_caption,repairing the door...,ドアを修復...,ドアを修理します…
Explore_ElectricalCabinet_caption,searching the electric panel...,電気パネルを探して...,電気パネルを探しています…
Explore_ElectricalCabinetPliersAlert_caption,searching the electric panel...,電気パネルを探して...,電気パネルを探しています…
Explore_FenceDoor01_caption,performing an inspection...,検査を行います...,検査しています…
Explore_FenceDoor02_caption,performing an inspection...,検査を行います...,検査しています…
Explore_FenceDoor03_caption,performing an inspection...,検査を行います...,検査しています…
Explore_FenceDoor04_caption,performing an inspection...,検査を行います...,検査しています…
Explore_FenceDoor05_caption,performing an inspection...,検査を行います...,検査しています…
Explore_Grader_caption,inspecting the snow plow...,除雪機を検査...,除雪機を検査しています…
FindLoot_AdrenalineSyringe_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_AdrenalineSyringe_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_AnomalySamples_RandomSit_caption,looking for anomaly samples...,異常サンプルを探してい...,アノマリーのサンプルを探しています…
FindLoot_AnomalySamples_RandomStand_caption,looking for anomaly samples...,異常サンプルを探してい...,アノマリーのサンプルを探しています…
FindLoot_Axe_Axe_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Axe_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Axe_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Bandage_DisinfectionBoxBig_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Bandage_DisinfectionBoxSmal_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Bandage_MedicalCabinet_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Bandage_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Bandage_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_BloodPack_FlaskStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_BloodPack_FreezerVertical_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_BloodPack_LabTable_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_BloodPack_ReagentCabinet_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Boards_Boards_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Boards_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026...,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています... ...,
FindLoot_Boards_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Boards_RubbishBag_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_BombInactive_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Candy_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Candy_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Chainsaw_Chainsaw_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Chainsaw_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Chainsaw_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_CircularSaw_CircularSaw_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Circularsaw_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Circularsaw_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Coal_BoxWithCoal_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Coal_CoalBag_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Coal_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Coal_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Coffee_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Coffee_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_ComputerBoard_Computer_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_ComputerBoard_ComputerSmall_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_ComputerBoard_WallBox_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Crowbar_Crowbar_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Crowbar_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Crowbar_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Documents_Board_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Documents_Nightstand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Documents_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Documents_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Exchange_DeadCharacter_caption,looting the body,体を略奪,体を略奪しています…
FindLoot_Exchange_Pouch_caption,gathering items...,アイテムを集めます...,アイテムを探しています…
FindLoot_Files_Bookcase_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_FirstAidKit_DisinfectionBoxBig_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_FirstAidKit_DisinfectionBoxSmall_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_FirstAidKit_MedicalCabinet_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_FirstAidKit_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_FirstAidKit_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_FrozenVegetables_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_FrozenVegetables_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_GasCanEmpty_GasCan_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_GasCanEmpty_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_GasCanEmpty_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_GasCanFull_GasCan_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_GasCanFull_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_GasCanFull_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Grindstone_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Grindstone_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Hammer_Hammer_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Hammer_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Hammer_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Handsaw_Handsaw_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Handsaw_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Handsaw_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_InstantNoodles_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_InstantNoodles_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_InstantSoup_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_InstantSoup_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_JacketHeavy_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_JacketHeavy_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_JacketLight_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_JacketLight_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_JacketMedium_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_JacketMedium_RandomStand_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
FindLoot_Keys_RandomSit_caption,\u7269\u8CC7\u3092\u63A2\u3057\u3066\u3044\u307E\u3059\u2026,\ u7269 \ u8CC7 \ u3092 \ u63A2 \ u3057 \ u3066 \ u3044 \ u307E \ u3059 \ています...,
